date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2005:50:59%20GMT	https://frvr.com/tutorials/golddigger	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger	(from https://frvr.com/tutorials/)
00:51:00	19868/19868	---MCZ	200	added ('OK')	text/html	etag:W/%22406bc1d2e75509e821f9af8944d7ff1e%22	https://frvr.com/tutorials/golddigger/index.html	C:/My%20Web%20Sites/gold/frvr.com/tutorials/golddigger/index.html	(from https://frvr.com/tutorials/)
00:51:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2005:51:00%20GMT	https://frvr.com/tutorials/krunker	C:/My%20Web%20Sites/gold/frvr.com/tutorials/krunker	(from https://frvr.com/tutorials/)
00:51:00	10104/10104	---MCZ	200	added ('OK')	text/html	etag:W/%22c27eab0fafa13af63eb4b839693c5555%22	https://frvr.com/tutorials/krunker/index.html	C:/My%20Web%20Sites/gold/frvr.com/tutorials/krunker/index.html	(from https://frvr.com/tutorials/)
00:51:01	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:00%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/)
00:51:01	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2005%20Mar%202023%2005:51:00%20GMT	https://frvr.com/support	C:/My%20Web%20Sites/gold/frvr.com/support	(from https://frvr.com/tutorials/)
00:51:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2005:51:01%20GMT	https://euc-widget.freshworks.com/widgets/80000004897.js	C:/My%20Web%20Sites/gold/euc-widget.freshworks.com/widgets/80000004897.26.delayed	(from https://frvr.com/tutorials/)
00:51:02	9042/9042	---MCZ	200	added ('OK')	application/javascript	etag:W/%220e1576333ae0c0868cd43aebc80ab65e%22	https://euc-widget.freshworks.com/widgetBase/bootstrap.js	C:/My%20Web%20Sites/gold/euc-widget.freshworks.com/widgetBase/bootstrap.js	(from https://frvr.com/tutorials/)
00:51:02	39564/39564	---M--	200	added ('OK')	application/octet-stream	etag:%22790d0c8dbcd491d29d58f1369c199d40%22	https://frvr.com/tutorials/assets/poppins-devanagari-400-normal.478b3ab7.woff2	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/poppins-devanagari-400-normal.478b3ab7.woff2	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:02	66572/66572	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22bbae93786a029de7b9458f5ca63e01fd%22	https://frvr.com/tutorials/assets/poppins-all-400-normal.c68e1edb.woff	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/poppins-all-400-normal.c68e1edb.woff	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:02	5544/5544	---M--	200	added ('OK')	application/octet-stream	etag:%220ed299a4bb5262e17e2145783b2c18f1%22	https://frvr.com/tutorials/assets/poppins-latin-ext-400-normal.cb8bdeab.woff2	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/poppins-latin-ext-400-normal.cb8bdeab.woff2	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:03	7884/7884	---M--	200	added ('OK')	application/octet-stream	etag:%229212f6f9860f9fc6c69b02fedf6db8c3%22	https://frvr.com/tutorials/assets/poppins-latin-400-normal.7d93459d.woff2	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/poppins-latin-400-normal.7d93459d.woff2	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:03	39148/39148	---M--	200	added ('OK')	application/octet-stream	etag:%227def222d1a45cb1cb7d8c3ae675dbdcc%22	https://frvr.com/tutorials/assets/poppins-devanagari-700-normal.6197a412.woff2	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/poppins-devanagari-700-normal.6197a412.woff2	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:03	65616/65616	---MCZ	200	added ('OK')	application/font-woff	etag:W/%224428e6c8c52a6f314021260c812f9c0a%22	https://frvr.com/tutorials/assets/poppins-all-700-normal.282b1ac4.woff	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/poppins-all-700-normal.282b1ac4.woff	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:03	5384/5384	---M--	200	added ('OK')	application/octet-stream	etag:%2296b6d54684daa94742f7bfd72a981213%22	https://frvr.com/tutorials/assets/poppins-latin-ext-700-normal.4ce2c84c.woff2	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/poppins-latin-ext-700-normal.4ce2c84c.woff2	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:04	7816/7816	---M--	200	added ('OK')	application/octet-stream	etag:%2225b0e113ca7cce3770d542736db26368%22	https://frvr.com/tutorials/assets/poppins-latin-700-normal.9338e65f.woff2	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/poppins-latin-700-normal.9338e65f.woff2	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
00:51:04	17504/17504	---M--	200	added ('OK')	application/octet-stream	etag:%22fc698935623adf965e116bb6024303ce%22	https://frvr.com/tutorials/assets/open-sans-cyrillic-ext-400-normal.bbbef4da.woff2	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/open-sans-cyrillic-ext-400-normal.bbbef4da.woff2	(from https://frvr.com/tutorials/assets/basketball.61a5c92f.css)
